NIS code;Woonplaats;Mannen;Vrouwen;Totaal
91072;Houyet;2513;2603;5116
91103;Onhaye;1669;1608;3277
91114;Rochefort;6213;6402;12615
91120;Somme-Leuze;3011;3008;6019
91141;Yvoir;4600;4633;9233
91142;Hastière;3156;3012;6168
91143;Vresse-sur-Semois;1291;1214;2505
92000;Arrondissement Namen;157738;164785;322523
92003;Andenne;13724;14390;28114
92006;Assesse;3651;3670;7321
92035;Eghezée;8209;8496;16705
92045;Floreffe;4005;4110;8115
92048;Fosses-la-Ville;5163;5290;10453
92054;Gesves;3689;3703;7392
92087;Mettet;6616;6849;13465
92094;Namen;54918;58368;113286
92097;Ohey;2607;2599;5206
92101;Profondeville;6049;6300;12349
92114;Sombreffe;4137;4301;8438
92137;Sambreville;13708;14684;28392
92138;Fernelmont;4099;4122;8221
92140;Jemeppe-sur-Sambre;9550;9707;19257
92141;La Bruyère;4529;4763;9292
92142;Gembloux;13084;13433;26517
93000;Arrondissement Philippeville;32851;33897;66748
93010;Cerfontaine;2487;2508;4995
93014;Couvin;6799;7201;14000
93018;Doische;1479;1516;2995
93022;Florennes;5635;5704;11339
93056;Philippeville;4657;4724;9381
93088;Walcourt;9016;9382;18398
93090;Viroinval;2778;2862;5640
